ID;TEXT;PREDICTED
1;"[('I', 'PRP'), ('swear', 'VBP'), ('-', ':'), ('I', 'PRP'), ('do', 'VBP'), (""n't"", 'RB'), ('put', 'VB'), ('pseudo', 'JJ'), ('code', 'NN'), ('I', 'PRP'), ('get', 'VBP'), ('told', 'VBN'), ('off', 'RP'), ('for', 'IN'), ('having', 'VBG'), ('bad', 'JJ'), ('variable', 'JJ'), ('names', 'NNS'), ('and', 'CC'), ('things', 'NNS'), ('that', 'WDT'), ('do', 'VBP'), (""n't"", 'RB'), ('match', 'VB'), ('...', ':')('I', 'PRP'), ('put', 'VBP'), ('pseudocode', 'JJ'), ('and', 'CC'), ('I', 'PRP'), ('still', 'RB'), ('get', 'VBP'), ('grief', 'JJ'), ('!', '.')]";negative
2;[('Reinnstalled', 'VBN'), ('Xcode4', 'SYM'), ('-', ':'), ('same', 'JJ'), ('thing', 'NN'), ('.', '.'),('Awful', 'JJ'), ('!', '.')];negative
3;"[('Yeah', 'UH'), (',', ','), ('it', 'PRP'), (""'s"", 'VBZ'), ('definitely', 'RB'), ('annoying', 'JJ'), ('!', '.')]";negative
4;[('I', 'PRP'), ('really', 'RB'), ('hate', 'VBP'), ('people', 'NNS'), ('who', 'WP'), ('downvote', 'VBP'), ('for', 'IN'), ('no', 'DT'), ('reason', 'NN'), ('.', '.'),('Just', 'RB'), ('tell', 'VB'), ('me', 'PRP'), ('what', 'WP'), ('your', 'PRP$'), ('problem', 'NN'), ('is', 'VBZ'), ('in', 'IN'), ('a', 'DT'), ('comment', 'NN'), ('after', 'IN'), ('you', 'PRP'), ('downvote', 'VBP'), ('.', '.'),('God', 'NN'), ('!', '.')];negative
5;"[('That', 'DT'), (""'s"", 'VBZ'), ('depressing', 'JJ'), (':', ':'), ('/', 'NN'), ('Are', 'VBP'), ('you', 'PRP'), ('sure', 'JJ'), ('I', 'PRP'), ('ca', 'MD'), (""n't"", 'RB'), ('get', 'VB'), ('a', 'DT'), ('collection', 'NN'), ('of', 'IN'), ('all', 'DT'), ('controls', 'NNS'), ('on', 'IN'), ('the', 'DT'), ('page', 'NN'), ('with', 'IN'), ('a', 'DT'), ('particular', 'JJ'), ('class', 'NN'), ('and', 'CC'), ('give', 'VB'), ('them', 'PRP'), ('a', 'DT'), ('single', 'JJ'), ('data', 'NN'), ('source', 'NN'), ('?', '.')]";negative
6;[('yeah', 'NN'), ('it', 'PRP'), ('working', 'VBG'), ('fine', 'JJ'), (':', ':'), (')', ')'), ('Thanks', 'VBZ'), ('!', '.'), ('!', '.')];positive
7;[('Excellent', 'JJ'), ('tutorial', 'NN'), ('!', '.')];positive
8;[('This', 'DT'), ('is', 'VBZ'), ('amazing', 'JJ'), ('.', '.'),('Thanks', 'NNS'), ('so', 'RB'), ('much', 'RB'), ('for', 'IN'), ('explaining', 'VBG'), ('.', '.'),('Excellent', 'JJ'), ('explanation', 'NN'), ('!', '.')];positive
9;[('Love', 'VB'), ('this', 'DT'), ('solution', 'NN'), ('!', '.')];positive
10;[('Sweet', 'NNP'), (':', ':'), (')', ')'), ('Happy', 'JJ'), ('hacking', 'NN'), ('!', '.')];positive
11;"[('I', 'PRP'), ('want', 'VBP'), ('them', 'PRP'), ('to', 'TO'), ('resize', 'VB'), ('based', 'VBN'), ('on', 'IN'), ('the', 'DT'), ('length', 'NN'), ('of', 'IN'), ('the', 'DT'), ('data', 'NN'), ('they', 'PRP'), (""'re"", 'VBP'), ('showing', 'VBG'), ('.', '.')]";positive
12;[('Do', 'VBP'), ('you', 'PRP'), ('have', 'VB'), ('jQuery', 'NN'), ('loaded', 'VBN'), ('correctly', 'RB'), ('?', '.')];neutral
13;[('For', 'IN'), ('Python', 'NNP'), ('3', 'CD'), ('the', 'DT'), ('following', 'NN'), ('will', 'MD'), ('work', 'VB'), ('.', '.')];neutral
14;"[('If', 'IN'), ('you', 'PRP'), (""'re"", 'VBP'), ('really', 'RB'), ('worried', 'JJ'), ('about', 'IN'), ('this', 'DT'), (',', ','), ('Java', 'NNP'), ('is', 'VBZ'), ('not', 'RB'), ('the', 'DT'), ('language', 'NN'), ('for', 'IN'), ('you', 'PRP')]";neutral
15;[('I', 'PRP'), ('would', 'MD'), ('continue', 'VB'), ('running', 'VBG'), ('in', 'IN'), ('the', 'DT'), ('background', 'NN'), ('and', 'CC'), ('set', 'VB'), ('an', 'DT'), ('(', '('), ('called', 'VBN'), ('by', 'IN'), ('the', 'DT'), ('os', 'NN'), ('when', 'WRB'), ('you', 'PRP'), ('app', 'VBP'), ('is', 'VBZ'), ('REALLY', 'NNP'), ('killed', 'VBN'), (')', ')'), ('and', 'CC'), ('there', 'EX'), ('use', 'VB')];neutral
